image_id,street,citi,n_citi,bed,bath,sqft,price,price_sqft,counts_locations,average_price_price_sqft
67,4613 Chaney Lane,"Bakersfield, CA",24,3,2,1242,200000,161,74,175
68,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000,106,43,176
69,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000,175,67,178
70,21040 94th Street,"California City, CA",57,4,2,1775,195000,110,20,129
71,1801 Poplar Way,"Pine Mountain Club, CA",282,3,2,952,199000,209,67,178
72,417 Washington Avenue,"Bakersfield, CA",24,5,2,1953,235000,120,74,175
73,1121 Dawn Street,"Bakersfield, CA",24,3,2,1527,209900,137,74,175
74,1416 Sweetgum Avenue,"Rosamond, CA",312,2,2,956,213900,224,32,232
75,2050 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1542,220000,143,67,178
76,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000,177,74,175
77,6409 Sundale Avenue,"Bakersfield, CA",24,3,2,1448,230000,159,74,175
78,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000,160,36,195
79,5495 Avenue 54,"Bakersfield, CA",24,2,1,991,219900,222,74,175
80,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000,178,20,129
81,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900,181,36,195
82,2213 Zermatt Drive,"Pine Mountain Club, CA",282,2,1,783,195000,249,67,178
83,96697 Pinon Village Road,"Inyokern, CA",156,2,1,1100,230000,209,3,236
84,9609 Susan Avenue,"California City, CA",57,3,2,1729,210000,121,20,129
85,21741 Electra Court,"California City, CA",57,3,2,1945,199950,103,20,129
86,2223 Bernina Drive,"Pine Mountain Club, CA",282,4,2,1632,239000,146,67,178
87,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000,167,67,178
88,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950,127,43,176
89,2818 Trakell Street,"Rosamond, CA",312,3,2,1433,260000,181,32,232
90,206 Cummings Valley Boulevard,"Tehachapi, CA",367,3,2,2435,284900,117,43,176
91,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000,121,20,129
92,3200 Pesante Road,"Bakersfield, CA",24,3,2.1,1838,265000,144,74,175
93,1509 Silk Tree,"Bakersfield, CA",24,3,2,1683,290000,172,74,175
94,3411 Dakota Street,"Rosamond, CA",312,5,2,1837,260000,142,32,232
95,3319 Garnet Avenue,"Rosamond, CA",312,3,2,1630,259900,159,32,232
96,6788 Lakeview Drive,"Frazier Park, CA",122,3,2,1198,280000,234,36,195
97,19700 Breeze Place,"Tehachapi, CA",367,3,2,1512,274999,182,43,176
98,10017 Laurie Avenue,"Bakersfield, CA",24,3,2,1515,275000,182,74,175
99,9825 Karen Ave,"California City, CA",57,4,2.1,1996,269669,135,20,129
100,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000,68,43,176
101,9721 Manhattan Drive,"Bakersfield, CA",24,3,2,1316,275000,209,74,175
102,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000,155,74,175
103,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000,134,74,175
104,2310 St Bernard Drive,"Pine Mountain Club, CA",282,3,2,1800,270000,150,67,178
105,608 Poinsettia Avenue,"Rosamond, CA",312,3,2,1425,255000,179,32,232
106,20844 Village,"California City, CA",57,4,3,1991,265000,133,20,129
107,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000,170,32,232
108,13631 Foyers Fall Dr,"Bakersfield, CA",24,4,2,1639,295000,180,74,175
109,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000,163,32,232
110,15505 Nesthorn Way,"Pine Mountain Club, CA",282,2,2,1137,259000,228,67,178
111,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000,128,6,180
112,9840 Margery Avenue,"California City, CA",57,3,2,2400,258000,108,20,129
113,4048 Summit Drive,"Frazier Park, CA",122,3,3.1,1526,275000,180,36,195
114,3142 Carnation St.,"Rosamond, CA",312,3,2,1687,260000,154,32,232
115,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000,189,36,195
116,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000,181,67,178
117,2600 Westland Drive,"Rosamond, CA",312,3,2,1473,269900,183,32,232
118,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900,151,74,175
119,904 Yosemite Drive,"Lebec, CA",196,3,2,1800,259000,144,6,158
120,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000,189,43,176
121,4213 Spruce,"Frazier Park, CA",122,3,2,1665,289000,174,36,195
122,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000,172,32,232
123,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000,166,2,166
124,2516 Arbor Drive,"Frazier Park, CA",122,3,2,2176,260000,119,36,195
125,2101 Freeman Drive,"Frazier Park, CA",122,3,3,1376,269900,196,36,195
126,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000,135,43,176
127,1604 Banff,"Pine Mountain Club, CA",282,3,3,1293,279000,216,67,178
128,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500,121,6,158
129,1425 Zion Way,"Pine Mountain Club, CA",282,4,2.1,1579,279000,177,67,178
130,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000,106,43,176
131,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000,175,67,178
132,1425 Dogwood,"Pine Mountain Club, CA",282,2,2,1520,265000,174,67,178
133,16800 Aleutian Drive,"Pine Mountain Club, CA",282,3,2,1920,275000,143,67,178
134,4100 N End Drive,"Frazier Park, CA",122,3,2,1836,274900,150,36,195
135,1620 Bernina Drive,"Pine Mountain Club, CA",282,3,2,1688,274960,163,67,178
136,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000,177,74,175
137,126 Pinon Street,"Frazier Park, CA",122,4,2.1,1897,285000,150,36,195
138,2604 Basel Court,"Pine Mountain Club, CA",282,2,2,1733,278300,161,67,178
139,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000,160,36,195
140,1812 Poplar Way,"Pine Mountain Club, CA",282,3,2.1,1712,285000,166,67,178
141,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000,178,20,129
142,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000,205,67,178
143,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900,181,36,195
144,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000,173,67,178
145,20121 Airway Boulevard,"California City, CA",57,3,3.1,2571,275000,107,20,129
146,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000,130,67,178
147,14920 Geneva Court,"Pine Mountain Club, CA",282,3,2,1344,279000,208,67,178
148,1612 Zermatt Drive,"Pine Mountain Club, CA",282,3,2,1536,278888,182,67,178
149,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000,219,43,176
150,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000,167,67,178
151,5315 Mountain Plover Avenue,"Bakersfield, CA",24,3,2.1,2011,339900,169,74,175
152,2336 Newberry Street,"Rosamond, CA",312,5,3.1,2557,344500,135,32,232
153,29201 N Lower Valley Road,"Tehachapi, CA",367,4,2,1703,315000,185,43,176
154,1601 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1615,329900,204,67,178
155,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000,214,43,176
156,4205 Marella Way,"Bakersfield, CA",24,4,3,2792,325000,116,74,175
157,3433 Summer Breeze Avenue,"Rosamond, CA",312,4,2.1,1831,319900,175,32,232
158,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000,157,36,195
159,22816 Yeager Court,"Tehachapi, CA",367,3,2,1685,339000,201,43,176
160,6725 Paper Birch Lane,"Bakersfield, CA",24,4,2,1838,315000,171,74,175
161,4017 Aero Way,"Rosamond, CA",312,4,3,1689,315000,187,32,232
162,11104 Cypress Falls Ave,"Bakersfield, CA",24,4,2,2043,335000,164,74,175
163,8043 Mojave-Tropico,"Mojave, CA",220,3,2.1,2112,330000,156,6,180
164,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000,134,74,175
165,1167 Alder Avenue,"Tehachapi, CA",367,3,2,1833,340000,185,43,176
166,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990,140,32,232
167,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000,170,32,232
168,13631 Foyers Fall Dr,"Bakersfield, CA",24,4,2,1639,295000,180,74,175
169,29851 Starland,"Tehachapi, CA",367,3,2,1954,309900,159,43,176
170,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000,133,32,232
171,10240 Redwood Boulevard,"California City, CA",57,5,4,2631,311000,118,20,129
172,2894 Delmar Avenue,"Mojave, CA",220,3,2.1,1622,319000,197,6,180
173,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000,128,6,180
174,19225 Jacks Hill Road,"Stallion Springs, CA",357,4,2,2302,344900,150,1,150
175,1301 Princeton,"Bakersfield, CA",24,3,3,2639,329999,125,74,175
176,1700 Bernina Drive,"Pine Mountain Club, CA",282,3,1.2,2304,329900,143,67,178
177,1309 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,1640,335000,204,67,178
178,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000,189,36,195
179,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900,151,74,175
180,29500 Butterfield Way,"Tehachapi, CA",367,3,2,1883,329000,175,43,176
181,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000,166,2,166
182,431 Butler Road,"Bakersfield, CA",24,5,4,3865,349900,91,74,175
183,3540 Gold Crest Lane,"Rosamond, CA",312,4,3.1,1987,316900,159,32,232
184,612 Dennison Lane,"Bakersfield, CA",24,3,2,2248,336800,150,74,175
185,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000,117,74,175
186,22321 Briarwood Street,"Tehachapi, CA",367,4,2,1962,329999,168,43,176
187,9216 Whispering Pines Road,"Frazier Park, CA",122,4,2.1,1856,328000,177,36,195
188,26990 Owl Court,"Tehachapi, CA",367,4,2,2065,317000,154,43,176
189,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500,121,6,158
190,2321 Zermatt,"Pine Mountain Club, CA",282,3,2.1,2072,338000,163,67,178
191,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000,411,67,178
192,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000,147,67,178
193,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000,127,43,176
194,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000,205,67,178
195,9950 Karen Avenue,"California City, CA",57,3,2.1,2214,314900,142,20,129
196,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000,173,67,178
197,1241 N Mayflower Circle,"Ridgecrest, CA",308,6,4,2608,339900,130,1,130
198,9705 Bossa Nova Court,"Bakersfield, CA",24,3,2,1840,324999,177,74,175
199,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000,115,43,176
200,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000,130,67,178
201,2312 Ironwood,"Pine Mountain Club, CA",282,4,3,1680,329000,196,67,178
202,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000,219,43,176
203,3212 Tumble Weed Avenue,"Rosamond, CA",312,4,2.1,2700,360000,133,32,232
204,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500,204,67,178
205,3068 Lebec Oaks Rd,"Lebec, CA",196,2,2,1644,369000,224,6,158
206,28840 Gleneagle Court,"Tehachapi, CA",367,3,3,2052,365000,178,43,176
207,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000,214,43,176
208,12407 Gila River Drive,"Bakersfield, CA",24,3,2.1,2296,388000,169,74,175
209,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000,157,36,195
210,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000,123,74,175
211,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900,125,74,175
212,2208 Zermatt Drive,"Pine Mountain Club, CA",282,4,4,2523,375888,149,67,178
213,2037 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1837,357000,194,67,178
214,181 Panorama Drive,"Kernville, CA",164,3,2.1,2125,389900,183,3,308
215,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990,140,32,232
216,29580 Butterfield Way,"Tehachapi, CA",367,3,2,2325,369900,159,43,176
217,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000,133,32,232
218,29442 Fawn Way,"Tehachapi, CA",367,4,2,2252,388950,173,43,176
219,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000,200,67,178
220,11409 Revolution Road,"Bakersfield, CA",24,5,3.1,2527,359900,142,74,175
221,19072 Pine Summit Court,"Tehachapi, CA",367,3,2,1762,365000,207,43,176
222,14013 Yellowstone Drive,"Frazier Park, CA",122,4,4,2900,359000,124,36,195
223,2987 Lebec Oaks Road,"Lebec, CA",196,3,2,2287,369963,162,6,158
224,14417 Yosemite Court,"Frazier Park, CA",122,4,3.1,2546,379900,149,36,195
225,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000,192,36,195
226,431 Butler Road,"Bakersfield, CA",24,5,4,3865,349900,91,74,175
227,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000,117,74,175
228,24550 Hart Drive,"Tehachapi, CA",367,4,2,2372,374000,158,43,176
229,1401 60th Street W,"Rosamond, CA",312,5,3,2760,375000,136,32,232
230,15448 Shasta Way,"Pine Mountain Club, CA",282,3,2.1,2230,369900,166,67,178
231,28037 wyly Court,"Keene, CA",163,2,2,1104,395000,358,2,358
232,16501 Grizzly Drive,"Pine Mountain Club, CA",282,4,3,2570,369900,144,67,178
233,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000,129,74,175
234,16509 Oakwood Way,"Bakersfield, CA",24,4,3,2592,379900,147,74,175
235,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990,169,74,175
236,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000,411,67,178
237,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000,147,67,178
238,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000,127,43,176
239,14332 Voltaire Drive,"Pine Mountain Club, CA",282,3,2.1,2196,356900,163,67,178
240,2041 St Bernard Drive,"Frazier Park, CA",122,3,3,2389,389000,163,36,195
241,4321 Logan Trail,"Frazier Park, CA",122,4,3,2746,379000,138,36,195
242,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000,115,43,176
243,15623 K Street,"Mojave, CA",220,4,4,1687,400000,237,6,180
244,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500,204,67,178
245,28721 Delaware Place,"Tehachapi, CA",367,3,2.1,2753,439000,159,43,176
246,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000,179,3,231
247,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000,123,74,175
248,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900,126,74,175
249,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900,125,74,175
250,11317 Silver Crown Avenue,"Bakersfield, CA",24,4,2.1,2496,419000,168,74,175
251,3416 Kansas,"Frazier Park, CA",122,3,2,2620,439000,168,36,195
252,25408 Roost Avenue,"Tehachapi, CA",367,3,3,2265,429000,189,43,176
253,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000,200,67,178
254,2407 Sunrise Drive,"Bakersfield, CA",24,4,3,2475,425000,172,74,175
255,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000,192,36,195
256,1421 Woodland Drive,"Pine Mountain Club, CA",282,3,3,1915,423000,221,67,178
257,1720 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2570,439000,171,67,178
258,28037 wyly Court,"Keene, CA",163,2,2,1104,395000,358,2,358
259,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000,129,74,175
260,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990,169,74,175
261,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000,127,8,268
262,24281 Bowen,"Tehachapi, CA",367,3,2,2638,424998,161,43,176
263,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000,119,67,178
264,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000,85,67,178
265,16725 Sequoia Way,"Pine Mountain Club, CA",282,4,3.1,2753,425000,154,67,178
266,2436 Antelope Way,"Pine Mountain Club, CA",282,4,4.1,3855,425000,110,67,178
267,15623 K Street,"Mojave, CA",220,4,4,1687,400000,237,6,180
268,1700 Zion Way,"Pine Mountain Club, CA",282,4,2.1,2962,490000,165,67,178
269,12101 Riverfront Park Drive,"Bakersfield, CA",24,4,2.1,3136,469000,150,74,175
270,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000,179,3,231
271,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900,126,74,175
272,2709 Villalovos Court,"Bakersfield, CA",24,10,8,3784,475000,126,74,175
273,8410 Exodus Lane,"Bakersfield, CA",24,4,3,2521,475000,188,74,175
274,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500,230,67,178
275,23601 Stacy Court,"Tehachapi, CA",367,5,2.1,3752,489000,130,43,176
276,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000,127,8,268
277,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000,119,67,178
278,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000,85,67,178
279,17820 Lockwood Valley Road,"Frazier Park, CA",122,3,2,1200,485000,404,36,195
280,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000,151,67,178
281,2513 Beechwood Way,"Pine Mountain Club, CA",282,3,3.1,2475,535000,216,67,178
282,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500,230,67,178
283,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,270,8,268
284,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000,158,43,176
285,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,270,8,268
286,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000,140,32,232
287,4609 Diamond Bay Drive,"Arvin, CA",20,4,3,2785,550000,197,5,173
288,2405 Cedarwood Drive,"Pine Mountain Club, CA",282,5,4.1,5322,549000,103,67,178
289,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000,177,74,175
290,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000,182,2,182
291,1766 Fir Drive,"Wofford Heights, CA",409,3,3,2466,524000,212,1,212
292,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000,151,67,178
293,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,270,8,268
294,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000,158,43,176
295,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,270,8,268
296,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000,140,32,232
297,4609 Diamond Bay Drive,"Arvin, CA",20,4,3,2785,550000,197,5,173
298,2405 Cedarwood Drive,"Pine Mountain Club, CA",282,5,4.1,5322,549000,103,67,178
299,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000,177,74,175
300,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000,182,2,182
301,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000,405,8,268
302,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999,238,74,175
303,4400 Country Club Drive,"Bakersfield, CA",24,4,3,3472,619999,179,74,175
304,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000,143,43,176
305,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000,405,8,268
306,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999,238,74,175
307,63 White Lane,"Bakersfield, CA",24,2,1,1092,699000,640,74,175
308,5051 Creekside Dr Road,"Arvin, CA",20,4,4,4111,699000,170,5,173
309,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000,143,43,176
310,11436 Cuddy Valley Road,"Frazier Park, CA",122,4,2,3383,715000,211,36,195
311,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000,250,3,236
312,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000,232,74,175
313,22020 Stockdale,"Bakersfield, CA",24,5,4,5085,719000,141,74,175
314,63 White Lane,"Bakersfield, CA",24,2,1,1092,699000,640,74,175
315,5051 Creekside Dr Road,"Arvin, CA",20,4,4,4111,699000,170,5,173
316,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500,137,74,175
317,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000,250,3,236
318,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000,275,74,175
319,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000,232,74,175
320,11717 Harrington Street,"Bakersfield, CA",24,5,4.1,4481,760000,170,74,175
321,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500,137,74,175
322,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000,275,74,175
323,8623 Deer Trail,"Frazier Park, CA",122,4,3.2,4390,829000,189,36,195
